enterprise,model_id,params_b,context_length,installed,remote,repo_type,access,note
Meta,meta-llama/Llama-2-7b-chat-hf,7,4096,no,available,gated,ok,gated
Meta,meta-llama/Llama-2-13b-chat-hf,13,4096,no,available,gated,ok,gated
Meta,meta-llama/Llama-2-70b-chat-hf,70,4096,no,available,gated,ok,gated
Meta,meta-llama/Meta-Llama-3-8B-Instruct,8,8000,no,available,gated,ok,gated
Meta,meta-llama/Meta-Llama-3-70B-Instruct,70,8000,no,available,gated,ok,gated
Mistral,mistralai/Mistral-7B-Instruct-v0.2,7,32000,no,available,public,ok,"transformers,pytorch,safetensors,mistral,text-generation"
Mistral,mistralai/Mixtral-8x7B-Instruct-v0.1,56,32000,no,available,public,ok,"vllm,safetensors,mixtral,fr,it"
Google,google/gemma-2b,2,8000,no,available,gated,ok,gated
Google,google/gemma-7b,7,8000,no,available,gated,ok,gated
TII,tiiuae/falcon-7b-instruct,7,2048,no,available,public,ok,"transformers,pytorch,coreml,safetensors,falcon"
TII,tiiuae/falcon-40b-instruct,40,2048,no,available,public,ok,"transformers,pytorch,falcon,text-generation,custom_code"
MosaicML,mosaicml/mpt-7b-chat,7,8192,no,available,public,ok,"transformers,pytorch,mpt,text-generation,Composer"
MosaicML,mosaicml/mpt-30b-chat,30,8192,no,available,public,ok,"transformers,pytorch,mpt,text-generation,Composer"
Alibaba,Qwen/Qwen-14B-Chat,14,8000,no,available,public,ok,"transformers,safetensors,qwen,text-generation,custom_code"
Alibaba,Qwen/Qwen2-72B-Instruct,72,32000,no,available,public,ok,"transformers,safetensors,qwen2,text-generation,chat"
BigScience,bigscience/bloom,176,2048,no,available,public,ok,"transformers,pytorch,tensorboard,safetensors,bloom"
EleutherAI,EleutherAI/gpt-j-6b,6,2048,no,available,public,ok,"transformers,pytorch,tf,jax,gptj"
EleutherAI,EleutherAI/gpt-neox-20b,20,2048,no,available,public,ok,"transformers,pytorch,safetensors,gpt_neox,text-generation"
Together,togethercomputer/RedPajama-INCITE-7B-v1,7,8192,no,not_found,unknown,unknown,model not found; model not found
OpenAssistant,OpenAssistant/oasst-sft-7-llama-30b,30,8192,no,not_found,unknown,unknown,model not found; model not found
BigCode,bigcode/starcoder,15,8192,no,available,gated,ok,gated
DeepSeek,deepseek-ai/deepseek-coder-6.7b-instruct,6.7,16000,no,available,public,ok,"transformers,pytorch,safetensors,llama,text-generation"
